OBSERVATION_ID,SPECIES,YEAR,TOWN,ALTITUDE,UTM1X1,UTM10X10
1651592,Sphagnum teres,,Encamp,2479,31TCH9207,31TCH90
1651655,Sphagnum warnstorfii,,Encamp,2058,31TCH9211,31TCH91
1651586,Sphagnum teres,,Ordino,1886,31TCH8119,31TCH81
1651593,Sphagnum teres,,Lles de Cerdanya,2190,31TCH9204,31TCH90
1651587,Sphagnum teres,,Ordino,1886,31TCH8119,31TCH81
1651588,Sphagnum teres,,Ordino,1886,31TCH8119,31TCH81
1651589,Sphagnum teres,,Ordino,2272,31TCH8218,31TCH81
1651590,Sphagnum teres,,Auzat,2453,31TCH7419,31TCH71
1651591,Sphagnum teres,,Alins,2527,31TCH7114,31TCH71
1651595,Sphagnum teres,,Canillo,2458,31TCH8912,31TCH81
1651704,Sphagnum warnstorfii,,Canillo,2246,31TCH9216,31TCH91
1651703,Sphagnum warnstorfii,,Canillo,2246,31TCH9216,31TCH91
1651702,Sphagnum warnstorfii,,Ordino,1647,31TCH8019,31TCH81
1651701,Sphagnum warnstorfii,,Encamp,2340,31TCH8506,31TCH80
1651700,Sphagnum warnstorfii,,Escaldes-Engordany,2090,31TCH8504,31TCH80
1651699,Sphagnum warnstorfii,,Encamp,2155,31TCH8407,31TCH80
1651698,Sphagnum warnstorfii,,Encamp,2155,31TCH8407,31TCH80
1651697,Sphagnum warnstorfii,,Escaldes-Engordany,2566,31TCH8406,31TCH80
1651696,Sphagnum warnstorfii,,Escaldes-Engordany,2410,31TCH8302,31TCH80
1651695,Sphagnum warnstorfii,,Escaldes-Engordany,2244,31TCH8303,31TCH80
1651694,Sphagnum warnstorfii,,Escaldes-Engordany,2410,31TCH8302,31TCH80
1651693,Sphagnum warnstorfii,,Escaldes-Engordany,2111,31TCH8203,31TCH80
1651692,Sphagnum warnstorfii,,Escaldes-Engordany,2111,31TCH8203,31TCH80
1651691,Sphagnum warnstorfii,,Escaldes-Engordany,2225,31TCH8202,31TCH80
1651690,Sphagnum warnstorfii,,Canillo,2246,31TCH9216,31TCH91
1651689,Sphagnum warnstorfii,,Canillo,2246,31TCH9216,31TCH91
1651688,Sphagnum warnstorfii,,Canillo,2361,31TCH9315,31TCH91
1651687,Sphagnum warnstorfii,,Escaldes-Engordany,2307,31TCH8703,31TCH80
1651686,Sphagnum warnstorfii,,Escaldes-Engordany,2307,31TCH8703,31TCH80
1651685,Sphagnum warnstorfii,,Escaldes-Engordany,2326,31TCH8503,31TCH80
1651684,Sphagnum warnstorfii,,Escaldes-Engordany,2326,31TCH8503,31TCH80
1651683,Sphagnum warnstorfii,,Escaldes-Engordany,2326,31TCH8503,31TCH80
1651682,Sphagnum warnstorfii,,Escaldes-Engordany,2373,31TCH8803,31TCH80
1651681,Sphagnum warnstorfii,,Escaldes-Engordany,2297,31TCH8603,31TCH80
1651680,Sphagnum warnstorfii,,Escaldes-Engordany,2529,31TCH8903,31TCH80
1651679,Sphagnum warnstorfii,,Escaldes-Engordany,2373,31TCH8803,31TCH80
1651678,Sphagnum warnstorfii,,Escaldes-Engordany,2306,31TCH8804,31TCH80
1651677,Sphagnum warnstorfii,,Escaldes-Engordany,2306,31TCH8804,31TCH80
1651676,Sphagnum warnstorfii,,Encamp,2498,31TCH8905,31TCH80
1651675,Sphagnum warnstorfii,,Escaldes-Engordany,2306,31TCH8804,31TCH80
1651674,Sphagnum warnstorfii,,Escaldes-Engordany,2307,31TCH8703,31TCH80
1651673,Sphagnum warnstorfii,,Encamp,2212,31TCH9209,31TCH90
1651672,Sphagnum warnstorfii,,Canillo,2115,31TCH9212,31TCH91
1651671,Sphagnum warnstorfii,,Encamp,2452,31TCH8807,31TCH80
1651670,Sphagnum warnstorfii,,Encamp,2452,31TCH8807,31TCH80
1651669,Sphagnum warnstorfii,,Encamp,2743,31TCH8806,31TCH80
1651668,Sphagnum warnstorfii,,Encamp,2363,31TCH9010,31TCH91
1651667,Sphagnum warnstorfii,,Canillo,2414,31TCH8911,31TCH81
1651666,Sphagnum warnstorfii,,Canillo,2414,31TCH8911,31TCH81
1651665,Sphagnum warnstorfii,,Encamp,2396,31TCH9108,31TCH90
1651664,Sphagnum warnstorfii,,Encamp,2212,31TCH9209,31TCH90
1651663,Sphagnum warnstorfii,,Encamp,2452,31TCH8807,31TCH80
1651662,Sphagnum warnstorfii,,Encamp,2743,31TCH8806,31TCH80
1651661,Sphagnum warnstorfii,,Encamp,2295,31TCH9208,31TCH90
1651660,Sphagnum warnstorfii,,Encamp,2284,31TCH9110,31TCH91
1651659,Sphagnum warnstorfii,,Encamp,2645,31TCH9109,31TCH90
1651658,Sphagnum warnstorfii,,Canillo,2115,31TCH9212,31TCH91
1651657,Sphagnum warnstorfii,,Encamp,2212,31TCH9209,31TCH90
1651656,Sphagnum warnstorfii,,Canillo,2115,31TCH9212,31TCH91
1651654,Sphagnum warnstorfii,,Encamp,2115,31TCH8609,31TCH80
1651653,Sphagnum warnstorfii,,Canillo,2289,31TCH9012,31TCH91
1651652,Sphagnum warnstorfii,,Canillo,2213,31TCH8812,31TCH81
1651651,Sphagnum warnstorfii,,Canillo,2361,31TCH9315,31TCH91
1651650,Sphagnum teres,,Canillo,2246,31TCH9216,31TCH91
1651649,Sphagnum teres,,Ordino,2468,31TCH8021,31TCH82
1651648,Sphagnum teres,,Ordino,2209,31TCH8121,31TCH82
1651647,Sphagnum teres,,Ordino,2084,31TCH7920,31TCH72
1651646,Sphagnum teres,,Ordino,1610,31TCH7917,31TCH71
1651645,Sphagnum teres,,Ordino,2406,31TCH7617,31TCH71
1651644,Sphagnum teres,,Ordino,2541,31TCH7517,31TCH71
1651643,Sphagnum teres,,Canillo,2199,31TCH9115,31TCH91
1651642,Sphagnum teres,,Porta,1852,31TCH9813,31TCH91
1651641,Sphagnum teres,,Escaldes-Engordany,2090,31TCH8504,31TCH80
1651640,Sphagnum teres,,Canillo,2315,31TCH9413,31TCH91
1651639,Sphagnum teres,,Canillo,2315,31TCH9413,31TCH91
1651638,Sphagnum teres,,Canillo,2315,31TCH9413,31TCH91
1651637,Sphagnum teres,,Canillo,2467,31TCH9313,31TCH91
1651636,Sphagnum teres,,Canillo,2145,31TCH9316,31TCH91
1651635,Sphagnum teres,,Canillo,2145,31TCH9316,31TCH91
1651634,Sphagnum teres,,Encamp,2172,31TCH8507,31TCH80
1651633,Sphagnum teres,,Encamp,2172,31TCH8507,31TCH80
1651632,Sphagnum teres,,Escaldes-Engordany,2566,31TCH8406,31TCH80
1651631,Sphagnum teres,,Escaldes-Engordany,2248,31TCH8505,31TCH80
1651630,Sphagnum teres,,Encamp,2340,31TCH8506,31TCH80
1651629,Sphagnum teres,,Escaldes-Engordany,2566,31TCH8406,31TCH80
1651628,Sphagnum teres,,Sant Julià de Lòria,2598,31TCH8101,31TCH80
1651627,Sphagnum teres,,Escaldes-Engordany,2410,31TCH8302,31TCH80
1651626,Sphagnum teres,,Escaldes-Engordany,2111,31TCH8203,31TCH80
1651625,Sphagnum teres,,Escaldes-Engordany,2410,31TCH8302,31TCH80
1651624,Sphagnum teres,,Escaldes-Engordany,2410,31TCH8302,31TCH80
1651623,Sphagnum teres,,Canillo,1903,31TCH9116,31TCH91
1651622,Sphagnum teres,,Escaldes-Engordany,2111,31TCH8203,31TCH80
1651621,Sphagnum teres,,Escaldes-Engordany,2111,31TCH8203,31TCH80
1651620,Sphagnum teres,,Canillo,2246,31TCH9216,31TCH91
1651619,Sphagnum teres,,Canillo,2246,31TCH9216,31TCH91
1651618,Sphagnum teres,,Canillo,2246,31TCH9216,31TCH91
1651617,Sphagnum teres,,Canillo,2361,31TCH9315,31TCH91
1651616,Sphagnum teres,,Escaldes-Engordany,2297,31TCH8603,31TCH80
1651615,Sphagnum teres,,Escaldes-Engordany,2326,31TCH8503,31TCH80
1651614,Sphagnum teres,,Escaldes-Engordany,2326,31TCH8503,31TCH80
1651613,Sphagnum teres,,Escaldes-Engordany,2326,31TCH8503,31TCH80
1651612,Sphagnum teres,,Escaldes-Engordany,2326,31TCH8503,31TCH80
1651611,Sphagnum teres,,Escaldes-Engordany,2326,31TCH8503,31TCH80
1651610,Sphagnum teres,,Escaldes-Engordany,2090,31TCH8504,31TCH80
1651609,Sphagnum teres,,Encamp,2212,31TCH9209,31TCH90
1651608,Sphagnum teres,,Encamp,2295,31TCH9208,31TCH90
1651607,Sphagnum teres,,Canillo,2115,31TCH9212,31TCH91
1651606,Sphagnum teres,,Encamp,2535,31TCH9009,31TCH90
1651605,Sphagnum teres,,Ordino,2245,31TCH7520,31TCH72
1651604,Sphagnum teres,,Encamp,2441,31TCH8809,31TCH80
1651603,Sphagnum teres,,Encamp,2441,31TCH8809,31TCH80
1651602,Sphagnum teres,,Encamp,2274,31TCH8607,31TCH80
1651601,Sphagnum teres,,Encamp,2452,31TCH8807,31TCH80
